movieId,title,genres,year,tag,content
1,Toy Story,Adventure Animation Children Comedy Fantasy,1995.0,pixar pixar fun,toy story adventure animation children comedy fantasy pixar pixar fun
2,Jumanji,Adventure Children Fantasy,1995.0,fantasy magic board game robin williams game,jumanji adventure children fantasy fantasy magic board game robin williams game
3,Grumpier Old Men,Comedy Romance,1995.0,moldy old,grumpier old men comedy romance moldy old
4,Waiting to Exhale,Comedy Drama Romance,1995.0,,waiting to exhale comedy drama romance
5,Father of the Bride Part II,Comedy,1995.0,pregnancy remake,father of the bride part ii comedy pregnancy remake
6,Heat,Action Crime Thriller,1995.0,,heat action crime thriller
7,Sabrina,Comedy Romance,1995.0,remake,sabrina comedy romance remake
8,Tom and Huck,Adventure Children,1995.0,,tom and huck adventure children
9,Sudden Death,Action,1995.0,,sudden death action
10,GoldenEye,Action Adventure Thriller,1995.0,,goldeneye action adventure thriller
11,"American President, The",Comedy Drama Romance,1995.0,politics president,american president the comedy drama romance politics president
12,Dracula: Dead and Loving It,Comedy Horror,1995.0,,dracula dead and loving it comedy horror
13,Balto,Adventure Animation Children,1995.0,,balto adventure animation children
14,Nixon,Drama,1995.0,politics president,nixon drama politics president
15,Cutthroat Island,Action Adventure Romance,1995.0,,cutthroat island action adventure romance
16,Casino,Crime Drama,1995.0,mafia,casino crime drama mafia
17,Sense and Sensibility,Drama Romance,1995.0,jane austen,sense and sensibility drama romance jane austen
18,Four Rooms,Comedy,1995.0,,four rooms comedy
19,Ace Ventura: When Nature Calls,Comedy,1995.0,,ace ventura when nature calls comedy
20,Money Train,Action Comedy Crime Drama Thriller,1995.0,,money train action comedy crime drama thriller
21,Get Shorty,Comedy Crime Thriller,1995.0,hollywood,get shorty comedy crime thriller hollywood
22,Copycat,Crime Drama Horror Mystery Thriller,1995.0,serial killer,copycat crime drama horror mystery thriller serial killer
23,Assassins,Action Crime Thriller,1995.0,,assassins action crime thriller
24,Powder,Drama Sci-Fi,1995.0,,powder drama sci fi
25,Leaving Las Vegas,Drama Romance,1995.0,alcoholism,leaving las vegas drama romance alcoholism
26,Othello,Drama,1995.0,shakespeare,othello drama shakespeare
27,Now and Then,Children Drama,1995.0,,now and then children drama
28,Persuasion,Drama Romance,1995.0,in netflix queue jane austen,persuasion drama romance in netflix queue jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,1995.0,kidnapping,city of lost children the cit des enfants perdus la adventure drama fantasy mystery sci fi kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime Drama,1995.0,,shanghai triad yao a yao yao dao waipo qiao crime drama
31,Dangerous Minds,Drama,1995.0,high school teacher,dangerous minds drama high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,1995.0,time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,twelve monkeys a k a 12 monkeys mystery sci fi thriller time travel time travel brad pitt bruce willis mindfuck post apocalyptic post apocalyptic remake time travel twist ending
34,Babe,Children Drama,1995.0,animal movie pigs villain nonexistent or not needed for good story,babe children drama animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking,Crime Drama,1995.0,death penalty nun,dead man walking crime drama death penalty nun
38,It Takes Two,Children Comedy,1995.0,twins,it takes two children comedy twins
39,Clueless,Comedy Romance,1995.0,chick flick funny paul rudd quotable seen more than once emma jane austen,clueless comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen
40,"Cry, the Beloved Country",Drama,1995.0,in netflix queue south africa,cry the beloved country drama in netflix queue south africa
41,Richard III,Drama War,1995.0,shakespeare,richard iii drama war shakespeare
42,Dead Presidents,Action Crime Drama,1995.0,,dead presidents action crime drama
43,Restoration,Drama,1995.0,england,restoration drama england
44,Mortal Kombat,Action Adventure Fantasy,1995.0,,mortal kombat action adventure fantasy
45,To Die For,Comedy Drama Thriller,1995.0,journalism,to die for comedy drama thriller journalism
46,How to Make an American Quilt,Drama Romance,1995.0,wedding,how to make an american quilt drama romance wedding
47,Seven (a.k.a. Se7en),Mystery Thriller,1995.0,mystery twist ending serial killer,seven a k a se7en mystery thriller mystery twist ending serial killer
48,Pocahontas,Animation Children Drama Musical Romance,1995.0,,pocahontas animation children drama musical romance
49,When Night Is Falling,Drama Romance,1995.0,,when night is falling drama romance
50,"Usual Suspects, The",Crime Mystery Thriller,1995.0,mindfuck suspense thriller tricky twist ending heist,usual suspects the crime mystery thriller mindfuck suspense thriller tricky twist ending heist
52,Mighty Aphrodite,Comedy Drama Romance,1995.0,adoption prostitution,mighty aphrodite comedy drama romance adoption prostitution
53,Lamerica,Adventure Drama,1994.0,,lamerica adventure drama
54,"Big Green, The",Children Comedy,1995.0,,big green the children comedy
55,Georgia,Drama,1995.0,,georgia drama
57,Home for the Holidays,Drama,1995.0,,home for the holidays drama
58,"Postman, The (Postino, Il)",Comedy Drama Romance,1994.0,writing,postman the postino il comedy drama romance writing
60,"Indian in the Cupboard, The",Adventure Children Fantasy,1995.0,,indian in the cupboard the adventure children fantasy
61,Eye for an Eye,Drama Thriller,1996.0,,eye for an eye drama thriller
62,Mr. Holland's Opus,Drama,1995.0,music,mr holland s opus drama music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy Crime,1996.0,,don t be a menace to south central while drinking your juice in the hood comedy crime
64,Two if by Sea,Comedy Romance,1996.0,,two if by sea comedy romance
65,Bio-Dome,Comedy,1996.0,,bio dome comedy
66,Lawnmower Man 2: Beyond Cyberspace,Action Sci-Fi Thriller,1996.0,,lawnmower man 2 beyond cyberspace action sci fi thriller
68,French Twist (Gazon maudit),Comedy Romance,1995.0,,french twist gazon maudit comedy romance
69,Friday,Comedy,1995.0,,friday comedy
70,From Dusk Till Dawn,Action Comedy Horror Thriller,1996.0,,from dusk till dawn action comedy horror thriller
71,Fair Game,Action,1995.0,,fair game action
72,Kicking and Screaming,Comedy Drama,1995.0,,kicking and screaming comedy drama
73,"Misérables, Les",Drama War,1995.0,,mis rables les drama war
74,Bed of Roses,Drama Romance,1996.0,,bed of roses drama romance
75,Big Bully,Comedy Drama,1996.0,,big bully comedy drama
76,Screamers,Action Sci-Fi Thriller,1995.0,,screamers action sci fi thriller
77,Nico Icon,Documentary,1995.0,,nico icon documentary
